name,code,date,open,low,high,price,volume,change,sentiment,target
AIRASIA GROUP BERHAD,5099,2019-03-22,2.8,2.74,2.8,2.79,3998600.0,0.007220216999999998,0.0,buy
AIRASIA GROUP BERHAD,5099,2019-03-25,2.74,2.71,2.76,2.71,7800700.0,-0.028673835,-1.0,sell
AIRASIA GROUP BERHAD,5099,2019-03-26,2.73,2.73,2.75,2.74,3008200.0,0.011070111,0.0,buy
AIRASIA GROUP BERHAD,5099,2019-03-27,2.75,2.7,2.75,2.7,2300100.0,-0.01459854,-1.0,sell
AIRASIA GROUP BERHAD,5099,2019-03-27,2.75,2.7,2.75,2.7,2300100.0,-0.01459854,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-03-28,2.71,2.69,2.73,2.7,4727000.0,0.0,0.0,hold
AIRASIA GROUP BERHAD,5099,2019-03-29,2.71,2.62,2.71,2.66,13900100.0,-0.014814815,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-04-01,2.68,2.64,2.68,2.64,6005500.0,-0.007518797,-1.0,sell
AIRASIA GROUP BERHAD,5099,2019-04-02,2.65,2.64,2.68,2.65,3738400.0,0.003787879,-1.0,buy
AIRASIA GROUP BERHAD,5099,2019-04-02,2.65,2.64,2.68,2.65,3738400.0,0.003787879,0.0,buy
AIRASIA GROUP BERHAD,5099,2019-04-03,2.67,2.65,2.68,2.67,3208400.0,0.00754717,-1.0,buy
AIRASIA GROUP BERHAD,5099,2019-04-03,2.67,2.65,2.68,2.67,3208400.0,0.00754717,0.0,buy
AIRASIA GROUP BERHAD,5099,2019-04-04,2.66,2.65,2.68,2.67,4548500.0,0.0,0.0,hold
AIRASIA GROUP BERHAD,5099,2019-04-05,2.68,2.64,2.68,2.65,4045200.0,-0.007490637,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-04-08,2.65,2.61,2.68,2.67,6462300.0,0.00754717,1.0,buy
AIRASIA GROUP BERHAD,5099,2019-04-09,2.67,2.6,2.67,2.6,9284400.0,-0.026217228,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-04-10,2.61,2.52,2.62,2.53,12435600.0,-0.026923077000000004,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-04-11,2.54,2.45,2.56,2.47,12700500.0,-0.023715415,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-04-12,2.5,2.48,2.52,2.49,5411100.0,0.008097166,0.0,buy
AIRASIA GROUP BERHAD,5099,2019-04-15,2.51,2.44,2.51,2.46,7177800.0,-0.012048193,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-04-17,2.49,2.45,2.5,2.48,8080500.0,0.008130080999999999,-1.0,buy
AIRASIA GROUP BERHAD,5099,2019-04-17,2.49,2.45,2.5,2.48,8080500.0,0.008130080999999999,1.0,buy
AIRASIA GROUP BERHAD,5099,2019-04-18,2.49,2.42,2.49,2.43,8010300.0,-0.02016129,-1.0,sell
AIRASIA GROUP BERHAD,5099,2019-04-18,2.49,2.42,2.49,2.43,8010300.0,-0.02016129,0.0,sell
AIRASIA GROUP BERHAD,5099,2019-04-19,2.45,2.44,2.51,2.5,4727400.0,0.028806584,-1.0,buy
AIRASIA GROUP BERHAD,5099,2019-04-19,2.45,2.44,2.51,2.5,4727400.0,0.028806584,-1.0,buy
AIRASIA GROUP BERHAD,5099,2019-04-22,2.5,2.45,2.51,2.47,4565300.0,-0.012,0.0,sell
