name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
INTEGRATED LOGISTICS BHD,5614,19-Apr-19,7:11 PM,-,-,-,0.385,0,0.380 / 100,0.395 / 576
IMASPRO CORPORATION BHD,7222,19-Apr-19,7:11 PM,1.97,1.97,1.97,1.97,"5,590",1.900 / 30,"1.990 / 2,754"
IMPIANA HOTELS BERHAD,7243,19-Apr-19,7:11 PM,0.06,0.055,0.06,0.06,"244,059","0.055 / 129,365","0.060 / 28,724"
INARI AMERTRON BERHAD,166,19-Apr-19,7:11 PM,1.84,1.77,1.86,1.78,"143,404","1.770 / 1,243","1.780 / 4,469"
INARI-C23: CW INARI AMERTRON BERHAD (CIMB),16623,19-Apr-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,"0.005 / 25,755"
INARI-C25: CW INARI AMERTRON BERHAD (MACQ),16625,19-Apr-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,"0.005 / 32,085"
INARI-C26: CW INARI AMERTRON BERHAD (CIMB),16626,19-Apr-19,7:11 PM,0.075,0.075,0.075,0.075,2,0.060 / 500,0.070 / 150
INARI-C27: CW INARI AMERTRON BERHAD (MACQ),16627,19-Apr-19,7:11 PM,0.065,0.055,0.065,0.06,"9,470","0.050 / 11,250","0.060 / 3,500"
INARI-C28: CW INARI AMERTRON BERHAD (RHB),16628,19-Apr-19,7:11 PM,0.06,0.045,0.06,0.05,"12,051",0.000 / 0,"0.050 / 2,000"
INARI-C29: CW INARI AMERTRON BERHAD (KIBB),16629,19-Apr-19,7:11 PM,0.095,0.095,0.095,0.095,"2,002",0.000 / 0,0.000 / 0
INARI-C30: CW INARI AMERTRON BERHAD (AM),16630,19-Apr-19,7:11 PM,0.085,0.08,0.085,0.08,400,0.000 / 0,0.105 / 100
INARI-C31: CW INARI AMERTRON BERHAD (KIBB),16631,19-Apr-19,7:11 PM,0.175,0.175,0.18,0.175,"8,900",0.120 / 200,0.170 / 80
INARI-C32: CW INARI AMERTRON BERHAD (MACQ),16632,19-Apr-19,7:11 PM,0.18,0.175,0.18,0.175,"26,336",0.000 / 0,"0.195 / 3,000"
INARI-C33: CW INARI AMERTRON BERHAD (CIMB),16633,19-Apr-19,7:11 PM,0.41,0.41,0.41,0.41,1,0.000 / 0,0.000 / 0
INARI-C34: CW INARI AMERTRON BERHAD (MIBB),16634,19-Apr-19,7:11 PM,0.12,0.115,0.12,0.115,"16,000",0.000 / 0,0.000 / 0
INARI-C35: CW INARI AMERTRON BERHAD (KIBB),16635,19-Apr-19,7:11 PM,0.1,0.095,0.1,0.095,"8,350",0.000 / 0,0.115 / 100
INARI-C36: CW INARI AMERTRON BERHAD (AM),16636,19-Apr-19,7:11 PM,-,-,-,0.125,0,0.000 / 0,0.000 / 0
INARI-C37: CW INARI AMERTRON BERHAD (CIMB),16637,19-Apr-19,7:11 PM,-,-,-,0.17,0,0.120 / 200,0.190 / 300
INARI-C38: CW INARI AMERTRON BERHAD (RHB),16638,19-Apr-19,7:11 PM,0.145,0.13,0.145,0.13,"20,101",0.125 / 620,0.145 / 950
INARI-C39: CW INARI AMERTRON BERHAD (MIBB),16639,19-Apr-19,7:11 PM,0.24,0.235,0.24,0.24,"31,996",0.000 / 0,0.240 / 300
