name,code,date,open,low,high,price,volume,Sector_main,sector,change
HARTALEGA HOLDINGS BHD,5168,4/5/2019,4.79,4.76,4.83,4.77,6196100.0,Main Market,Health Care,-0.004175365
HARTALEGA HOLDINGS BHD,5168,4/8/2019,4.78,4.72,4.82,4.74,3214700.0,Main Market,Health Care,-0.006289308
HARTALEGA HOLDINGS BHD,5168,4/9/2019,4.74,4.7,4.78,4.75,2866200.0,Main Market,Health Care,0.002109705
HARTALEGA HOLDINGS BHD,5168,4/10/2019,4.76,4.66,4.76,4.69,3676300.0,Main Market,Health Care,-0.012631578999999999
HARTALEGA HOLDINGS BHD,5168,4/11/2019,4.7,4.68,4.72,4.69,1891700.0,Main Market,Health Care,0.0
HARTALEGA HOLDINGS BHD,5168,4/12/2019,4.7,4.65,4.71,4.71,1181800.0,Main Market,Health Care,0.0042643920000000005
HARTALEGA HOLDINGS BHD,5168,4/15/2019,4.73,4.62,4.74,4.66,2219500.0,Main Market,Health Care,-0.010615711000000002
HARTALEGA HOLDINGS BHD,5168,4/17/2019,4.67,4.67,4.79,4.73,9028500.0,Main Market,Health Care,0.015021459
HARTALEGA HOLDINGS BHD,5168,4/18/2019,4.69,4.69,4.76,4.74,4527400.0,Main Market,Health Care,0.002114165
HARTALEGA HOLDINGS BHD,5168,4/19/2019,4.73,4.69,4.75,4.72,4349000.0,Main Market,Health Care,-0.004219409
HARTALEGA HOLDINGS BHD,5168,4/22/2019,4.72,4.72,4.88,4.81,4860600.0,Main Market,Health Care,0.019067797
HARTALEGA HOLDINGS BHD,5168,4/23/2019,4.81,4.8,5.19,5.15,7526000.0,Main Market,Health Care,0.070686071
TOP GLOVE CORPORATION BHD,7113,2/25/2019,4.85,4.76,4.86,4.8,8665100.0,Main Market,Health Care,0.0
TOP GLOVE CORPORATION BHD,7113,2/26/2019,4.8,4.77,4.83,4.78,5624000.0,Main Market,Health Care,-0.004166667
TOP GLOVE CORPORATION BHD,7113,2/27/2019,4.8,4.68,4.8,4.68,9785700.0,Main Market,Health Care,-0.020920502
TOP GLOVE CORPORATION BHD,7113,2/28/2019,4.68,4.53,4.69,4.54,16537300.0,Main Market,Health Care,-0.02991453
TOP GLOVE CORPORATION BHD,7113,3/1/2019,4.56,4.55,4.64,4.64,11787800.0,Main Market,Health Care,0.022026432000000002
TOP GLOVE CORPORATION BHD,7113,3/4/2019,4.6,4.58,4.64,4.6,4726600.0,Main Market,Health Care,-0.00862069
TOP GLOVE CORPORATION BHD,7113,3/5/2019,4.6,4.56,4.63,4.6,7634100.0,Main Market,Health Care,0.0
TOP GLOVE CORPORATION BHD,7113,3/6/2019,4.63,4.57,4.64,4.58,5565600.0,Main Market,Health Care,-0.004347826
TOP GLOVE CORPORATION BHD,7113,3/7/2019,4.6,4.59,4.64,4.59,4832000.0,Main Market,Health Care,0.002183406
TOP GLOVE CORPORATION BHD,7113,3/8/2019,4.6,4.55,4.62,4.59,4801100.0,Main Market,Health Care,0.0
TOP GLOVE CORPORATION BHD,7113,3/11/2019,4.6,4.43,4.6,4.45,16086400.0,Main Market,Health Care,-0.030501089
TOP GLOVE CORPORATION BHD,7113,3/12/2019,4.45,4.43,4.49,4.46,9665100.0,Main Market,Health Care,0.002247191
TOP GLOVE CORPORATION BHD,7113,3/13/2019,4.47,4.3,4.47,4.32,11650100.0,Main Market,Health Care,-0.031390135
TOP GLOVE CORPORATION BHD,7113,3/14/2019,4.32,4.31,4.42,4.4,9971000.0,Main Market,Health Care,0.018518519
TOP GLOVE CORPORATION BHD,7113,3/15/2019,4.42,4.42,4.57,4.56,24308300.0,Main Market,Health Care,0.036363636
TOP GLOVE CORPORATION BHD,7113,3/18/2019,4.57,4.51,4.59,4.52,5488400.0,Main Market,Health Care,-0.00877193
TOP GLOVE CORPORATION BHD,7113,3/19/2019,4.53,4.48,4.54,4.5,5710700.0,Main Market,Health Care,-0.004424779
TOP GLOVE CORPORATION BHD,7113,3/20/2019,4.5,4.46,4.58,4.58,7514700.0,Main Market,Health Care,0.017777778
TOP GLOVE CORPORATION BHD,7113,3/21/2019,4.58,4.4,4.59,4.46,6199200.0,Main Market,Health Care,-0.026200873
TOP GLOVE CORPORATION BHD,7113,3/22/2019,4.49,4.36,4.5,4.43,7408900.0,Main Market,Health Care,-0.006726457
TOP GLOVE CORPORATION BHD,7113,3/25/2019,4.43,4.37,4.52,4.48,4653800.0,Main Market,Health Care,0.011286682
TOP GLOVE CORPORATION BHD,7113,3/26/2019,4.48,4.48,4.52,4.5,3741100.0,Main Market,Health Care,0.004464286
TOP GLOVE CORPORATION BHD,7113,3/27/2019,4.52,4.44,4.54,4.5,2986800.0,Main Market,Health Care,0.0
TOP GLOVE CORPORATION BHD,7113,3/28/2019,4.5,4.45,4.51,4.49,2837100.0,Main Market,Health Care,-0.0022222220000000003
TOP GLOVE CORPORATION BHD,7113,3/29/2019,4.5,4.5,4.66,4.62,11908300.0,Main Market,Health Care,0.028953229
TOP GLOVE CORPORATION BHD,7113,4/1/2019,4.66,4.61,4.68,4.62,4787600.0,Main Market,Health Care,0.0
TOP GLOVE CORPORATION BHD,7113,4/2/2019,4.64,4.62,4.68,4.64,4665800.0,Main Market,Health Care,0.004329004
TOP GLOVE CORPORATION BHD,7113,4/3/2019,4.64,4.64,4.74,4.68,4743900.0,Main Market,Health Care,0.00862069
TOP GLOVE CORPORATION BHD,7113,4/4/2019,4.72,4.64,4.74,4.65,4531000.0,Main Market,Health Care,-0.006410256
TOP GLOVE CORPORATION BHD,7113,4/5/2019,4.65,4.56,4.67,4.6,3157900.0,Main Market,Health Care,-0.010752688
TOP GLOVE CORPORATION BHD,7113,4/8/2019,4.6,4.54,4.6,4.59,4361900.0,Main Market,Health Care,-0.002173913
TOP GLOVE CORPORATION BHD,7113,4/9/2019,4.56,4.56,4.63,4.59,3197900.0,Main Market,Health Care,0.0
TOP GLOVE CORPORATION BHD,7113,4/10/2019,4.58,4.53,4.59,4.57,3442200.0,Main Market,Health Care,-0.004357298
TOP GLOVE CORPORATION BHD,7113,4/11/2019,4.57,4.53,4.57,4.55,1569900.0,Main Market,Health Care,-0.004376368
TOP GLOVE CORPORATION BHD,7113,4/12/2019,4.55,4.53,4.56,4.55,3804600.0,Main Market,Health Care,0.0
TOP GLOVE CORPORATION BHD,7113,4/15/2019,4.58,4.51,4.59,4.53,1757800.0,Main Market,Health Care,-0.004395604
TOP GLOVE CORPORATION BHD,7113,4/17/2019,4.52,4.46,4.56,4.55,7784300.0,Main Market,Health Care,0.004415011
TOP GLOVE CORPORATION BHD,7113,4/19/2019,4.48,4.47,4.53,4.53,3962100.0,Main Market,Health Care,-0.004395604
TOP GLOVE CORPORATION BHD,7113,4/22/2019,4.52,4.51,4.57,4.55,2910100.0,Main Market,Health Care,0.004415011
TOP GLOVE CORPORATION BHD,7113,4/23/2019,4.54,4.51,4.77,4.76,6842300.0,Main Market,Health Care,0.046153846
