name,total assets,total liabilities,total equity,net cash generated from operating activities,net cash generated from investing activities,net cash generated from financing activities,code
LONDON BISCUITS BHD,720044000.0,395205000.0,324839000.0,-1319000.0,-54500000.0,63682000.0,7126
MKH BERHAD,1120068619.0,95914871.0,1024153748.0,6482768.0,-49817962.0,33529160.0,6114
MY E.G. SERVICES BHD,684764000.0,126338000.0,558426000.0,265911000.0,-143402000.0,-122515000.0,138
NOTION VTEC BHD,193914000.0,4304000.0,189610000.0,1293000.0,-44381000.0,1982000.0,83
NWP HOLDINGS BHD,25979943.0,1956394.0,24023549.0,-4502254.0,741400.0,3747960.0,5025
PACIFIC & ORIENT BHD,376437000.0,5580000.0,370857000.0,-10002000.0,25579000.0,-17191000.0,6009
SENTORIA GROUP BERHAD,504472000.0,194674000.0,309798000.0,-2708000.0,-101619000.0,95897000.0,5213
STONE MASTER CORPORATION BHD,5538000.0,21050000.0,-15512000.0,-797000.0,212000.0,-1018000.0,7143
SUNSURIA BERHAD,726227000.0,125495000.0,600732000.0,-15697000.0,-21867000.0,16365000.0,3743
UMS HOLDINGS BHD,53706580.0,1071500.0,52635080.0,-528823.0,4545337.0,-3719000.0,7137
UNITED PLANTATIONS BHD,2226722000.0,235675000.0,1991047000.0,317403000.0,-54552000.0,-304314000.0,2089
VISDYNAMICS HOLDINGS BHD,20225351.0,1434295.0,18821056.0,1656527.0,95135.0,-1285017.0,120
WONG ENGINEERING CORPORATION,64009553.0,1101048.0,62908505.0,3990066.0,-1361612.0,-3043667.0,7050
WELLCALL HOLDINGS BHD,79150266.0,98783.0,79051483.0,29435252.0,,-27885070.0,7231
A RankBerhad,108677499.0,262600.0,108414899.0,-449824.0,22418872.0,-3900000.0,7214.0
Titijaya  Land Berhad,1028116461.0,99654692.0,928461769.0,299525469.0,-668784681.0,358419620.0,5239.0
P.A. Resources Berhad,99937004.0,405057.0,99531947.0,-1067829.0,-36765919.0,37861266.0,7225.0
ANZO Holdings Berhad,150808753.0,1478923.0,149329830.0,-99538367.0,-106000.0,107704173.0,9342.0
BCB Berhad,1168908000.0,179550189000.0,299342233000.0,46535578000.0,-24790500000.0,-18961005000.0,6602.0
EG Industries Berhad,238125000.0,44229000.0,193896000.0,16602000.0,-65393000.0,48395000.0,8907.0
Gamuda Berhad,16839207000.0,8887681000.0,7951526000.0,502377000.0,-320168000.0,316599000.0,5398.0
HTVB,821861000.0,258330000.0,563531000.0,-16615000.0,-75832000.0,88198000.0,
Idimension Consolidated Bhd,45648861.0,10699568.0,34949293.0,-1601067.0,3169629.0,1174392.0,174.0
IPMuda Berhad,187926000.0,107906000.0,80020000.0,-8868000.0,7893000.0,868000.0,5673.0
Kim Teck Cheong Consolidated Berhad,111530168.0,18383057.0,93147111.0,-3410490.0,-6275249.0,10930027.0,180.0
Multi-Usage Holding Berhad,58170799.0,5305814.0,52864985.0,-1297320.0,4110561.0,,9539.0
Petrol One Resources Berhad,72022578.0,7617959.0,64404619.0,-365349.0,3677003.0,-3259360.0,
Prolexus Berhad,148900000.0,22413000.0,126487000.0,287000.0,1515000.0,-25106000.0,8966.0
Priceworth International Berhad,425259940.0,99781759.0,327478181.0,17560445.0,,-17536782.0,7123.0
Scientex Berhad,529068000.0,33776000.0,495292000.0,-1375000.0,39410000.0,-35493000.0,4731.0
Silver Ridge Holding Berhad,15623757.0,4153979.0,11469778.0,130057.0,-153404.0,143560.0,129.0
Sime Darby Berhad,9791000000.0,6000000.0,9785000000.0,,,,4197.0
Sterling Progress Berhad,54022000.0,6556000.0,47466000.0,-1702000.0,-7398000.0,6300000.0,
Shin Yang Shipping Corporation Berhad,1244425026.0,24056198.0,1220368828.0,-1866308.0,877794.0,-21522147.0,5173.0
Top Glove Berhad,1022196000.0,1509000.0,1020687000.0,-7445000.0,191285000.0,-184173000.0,7113.0
Vsolar Group Berhad,19097951.0,235508.0,18862443.0,-2744238.0,-259812.0,-494444.0,66.0
POH KONG HOLDINGS BHD,802789499.0,279446457.0,802789499.0,-3993238.0,63611673.0,-58519423.0,5080.0
TMC LIFE SCIENCES BERHAD,678488000.0,2114000.0,676374000.0,-7434000.0,21529000.0,-2717000.0,101.0
Lee Swee Hang,,,,,,,
NEXGRAM HOLDINGS BERHAD,240872815.0,16784401.0,224088414.0,-3917699.0,994.0,3894242.0,96.0
ASTINO BERHAD,516664589.0,154404821.0,336856219.0,-244417.0,-33579009.0,30626528.0,7162.0
BATU KAWAN BERHAD,1395227000.0,510959000.0,884268000.0,919255000.0,-337373000.0,-665122000.0,1899.0
CONCRETE ENGINEERING PRODUCTS BERHAD,216956.0,108922.0,108035.0,-5569724.0,1151257.0,5968184.0,8435.0
CHIN TECK PLANTATIONS BERHAD,696242506.0,17946816.0,678295690.0,25214110.0,29369290.0,-27408975.0,1929.0
FRASER & NEAVE HOLDINGS BHD,1636236000.0,2409000.0,1633827000.0,-170817000.0,455927000.0,-213599000.0,3689.0
GREENYIELD BERHAD,41846547.0,4966475.0,36880072.0,-303083.0,1000376.0,-671220.0,136.0
INIX TECHNOLOGIES HOLDINGS BERHAD,18999019.0,2173501.0,16825518.0,-244574.0,-325.0,598650.0,94.0
JAYCORP BERHAD,113051000.0,667000.0,112384000.0,7654000.0,1151000.0,-9186000.0,7152.0
MCE HOLDINGS BERHAD,91141734.0,131861.0,91009873.0,-638840.0,669701.0,,7004.0
MELATI EHSAN HOLDINGS BERHAD,192175498.0,4726540.0,187448958.0,-558703.0,1001492.0,-1332418.0,5129.0
PLB ENGINEERING BERHAD,191033247.0,36030764.0,155002483.0,4113322.0,-20832028.0,16711715.0,7055.0
SAUDEE GROUP BERHAD,65807085.0,4233074.0,61574011.0,-652356.0,763.0,687049.0,5157.0
SCH GROUP BERHAD,116718872.0,43415744.0,73303128.0,572709.0,-68254811.0,66788870.0,161.0
SMTRACK BERHAD,14454776.0,1756173.0,12698603.0,-8072223.0,-15333.0,8100923.0,169.0
SUBUR TIASA HOLDINGS BERHAD,964299000.0,317624000.0,646675000.0,-103992000.0,67399000.0,26736.0,6904.0
SWS CAPITAL BERHAD,73197452.0,104865.0,73092587.0,-953864.0,-302375.0,,7186.0
SYF RESOURCES BERHAD,183269000.0,5006000.0,178263000.0,1508000.0,10093000.0,-11241000.0,7082.0
TRIVE PROPERTY GROUP BERHAD,43198782.0,133658.0,43065124.0,-7029371.0,-2976845.0,25072332.0,118.0
V.S. INDUSTRY BERHAD,1255474000.0,576459000.0,679015000.0,-54788000.0,-123233000.0,200191000.0,6963.0
WZ SATU BERHAD,212998000.0,2099000.0,210899000.0,2737000.0,-26359000.0,-7125000.0,7245.0
